Combination,Modularized Accuracy,Trained Model Accuracy,Accuracy Delta,Update Time,Scratch Time,Modular Eval Time
(emnist:0-1-2-3-5-8-9-10-11-12-14-15-16-17-18-20-21-22-23-25-26-27-29-31-32-34-35-37-38-39-41-42-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(kmnist:0-1-2-3-8-9-)(mnist:0-4-7-),0.2875422668951781,0.8793945991013943,-0.5918523322062161,N/A,342.545832157135,0.002316446513375145
(emnist:0-2-3-6-7-8-9-10-11-12-16-17-20-23-25-28-29-31-32-34-37-39-40-41-42-44-45-48-49-54-55-56-57-59-60-61-)(kmnist:0-1-3-4-5-6-7-8-9-),0.2883836082131376,0.949191373003067,-0.6608077647899294,N/A,493.59313011169434,0.002099020951239447
(fmnist:0-1-2-3-4-5-6-7-9-)(kmnist:0-1-3-4-5-7-8-)(mnist:5-),0.837793038124556,0.9187189201989108,-0.0809258820743548,N/A,195.9877200126648,0.0009967536122319598
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:3-)(mnist:0-2-4-6-8-9-),0.16858134968926966,0.8645361761508381,-0.6959548264615685,N/A,1115.191332101822,0.0024962793813772077
(emnist:0-3-4-5-8-10-12-13-18-21-22-24-26-28-29-31-34-35-37-40-41-48-49-52-53-57-58-60-61-)(fmnist:0-7-),0.7661215028492322,0.9042851163838898,-0.13816361353465756,N/A,595.1603760719299,0.0011608175069111933
(fmnist:0-3-5-7-9-)(kmnist:3-4-5-8-9-),0.9285,0.9562,-0.027700000000000058,N/A,80.84698700904846,0.0007015260934829712
(fmnist:3-7-8-)(mnist:1-2-3-9-),0.9608961870303367,0.9940161424993043,-0.03311995546896751,N/A,60.88144016265869,0.00031944267470425896
(kmnist:4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.9488666666666666,0.9806666666666667,-0.03180000000000005,N/A,162.8324921131134,0.0008511478106180827
(emnist:1-18-20-29-31-33-40-58-59-)(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:3-4-5-6-),0.4971292678783761,0.9252930185153728,-0.42816375063699674,N/A,376.9886739253998,0.0008388384181897912
(emnist:0-1-2-3-4-5-7-8-9-10-12-13-15-16-17-18-19-20-21-23-25-26-27-28-29-32-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-58-60-61-)(fmnist:3-4-5-6-7-)(kmnist:0-1-7-)(mnist:1-3-4-5-6-7-9-),0.24472551695182115,0.8970032539099402,-0.652277736958119,N/A,941.1466112136841,0.0025281099512188244
(fmnist:1-)(mnist:0-1-2-3-4-5-6-7-8-),0.9868881993794415,0.9913922530277249,-0.004504053648283435,N/A,82.16434407234192,0.00045487217544709917
(emnist:7-8-12-19-53-)(fmnist:2-4-5-7-9-)(kmnist:2-4-)(mnist:0-5-9-),0.5219834459716,0.9806743108816159,-0.458690864910016,N/A,193.3817799091339,0.0006781577955337653
(emnist:16-26-39-51-57-)(kmnist:0-1-4-8-9-),0.8138202649480845,0.963718820861678,-0.14989855591359358,N/A,63.9501371383667,0.0007304254644084111
(fmnist:1-4-5-6-7-9-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.925375,0.968375,-0.04300000000000004,N/A,88.95938086509705,0.0006359982490539551
(emnist:0-1-2-3-4-5-7-8-11-12-13-15-16-17-18-19-20-23-25-27-28-29-30-33-34-35-37-39-40-41-42-43-44-45-47-48-49-50-51-54-56-57-58-59-60-61-)(fmnist:0-)(kmnist:0-)(mnist:0-1-2-3-5-6-7-8-9-),0.21452297946297266,0.8980553070270159,-0.6835323275640433,N/A,613.0506858825684,0.0021745490069636445
(fmnist:2-8-)(mnist:2-4-8-),0.9639133921411387,0.9879711307137129,-0.024057738572574205,N/A,18.569862842559814,0.00025245449307830984
(emnist:0-8-)(fmnist:2-5-6-8-9-)(mnist:3-4-),0.529587567244471,0.9820138020974841,-0.45242623485301314,N/A,167.14717984199524,0.00038552612012827817
