Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Inference Time
58,0.396039604,0.6775846237,0.4921702098,0.3859139031,0.7138951313,0.0002313414423
59,0.926,0.9291047357,0.926,0.9257767276,0.9588888889,0.0002304534435
60,0.9509306261,0.9535342899,0.9511057382,0.9515001703,0.9733194816,0.0002500348621
61,0.99609375,0.9960784314,0.996,0.9959996,0.9975145631,0.0003808977082
62,0.3072635135,0.648953662,0.2348131876,0.2371525672,0.6119457741,0.0001307144793
63,0.4373730535,0.7574815228,0.4264169492,0.3763919735,0.6937894566,0.0001793536288
64,0.9182098765,0.9232063401,0.9183333333,0.9183203682,0.9557585113,0.0002077207153
65,0.2678667383,0.5602437456,0.231907805,0.2023493948,0.6069017887,0.0001560076588
66,0.9481481481,0.9493161848,0.9487910954,0.9476679617,0.9729558723,0.0001935575374
67,0.4989417989,0.5561995084,0.5958627755,0.449921623,0.7880318089,0.0001776264749
68,0.9351955307,0.9350982756,0.9352131768,0.9339225988,0.965700607,0.0002139493444
69,0.5939148073,0.8214213359,0.4857909524,0.4878409321,0.7346049272,0.0001422366709
70,0.3218739467,0.4549475286,0.2702074394,0.2097883344,0.626478883,0.000140273563
71,0.5048859935,0.5070269112,0.6148169521,0.4625592993,0.7986333567,0.000182028412
72,0.1996625422,0.2795176109,0.2826867306,0.1663778885,0.6367639017,0.0001372087319
73,0.2068224165,0.3864918253,0.2686364477,0.1709761021,0.629673629,0.0001348918787
74,0.9183417085,0.9177031629,0.9187478635,0.9173747583,0.9566513562,0.0002225636687
75,0.8450704225,0.9098360656,0.7380952381,0.7730310956,0.7380952381,0.001101438428
76,0.2754249496,0.5490975734,0.3392098316,0.2390611448,0.6604142098,0.000155917132
77,0.3301158301,0.6853498749,0.3311953491,0.2856578651,0.6470645076,0.0002152428373
78,0.9594936709,0.964292871,0.9603168768,0.9597040895,0.9772609288,0.0002819751637
79,0.2587975065,0.6054929846,0.2348025586,0.2381496221,0.6108291849,0.0001267059604
80,0.4973730298,0.5331104671,0.5826338426,0.4747701439,0.782390499,0.0001804865503
81,0.1538345638,0.3152736775,0.1998052361,0.1273387238,0.5945064041,0.0001315334706
82,0.1339764202,0.3895422699,0.2002823681,0.1261326995,0.5913872817,0.0001315566346
83,0.2190251235,0.5601229142,0.2840751619,0.1825188666,0.6345863982,0.0001337549277
84,0.3748152527,0.5855499993,0.3637899042,0.2864098793,0.6735451278,0.0001463379592
85,0.3433853886,0.7160552518,0.2759522506,0.3076261778,0.6321604499,0.0001316562895
86,0.1528700015,0.2536415918,0.2250435345,0.1335904955,0.6073181797,0.0001438059702
