Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
46,92.77,25.37,92.86,93.47,2150.48,24747.11,6968.3,2,21,0,12,9,0,(emnist:4-5-7-19-20-38-42-46-49-51-52-60-)(fmnist:0-1-2-3-5-6-7-8-9-)
47,91.57,30.98,91.14,91.75,3151.53,30270.73,12588.38,2,34,3,31,0,0,(emnist:2-3-4-5-7-9-15-16-20-22-24-25-27-28-31-32-33-37-39-40-42-43-46-49-54-55-56-57-59-60-61-)(mnist:5-6-9-)
48,97.73,86.26,95.37,97.38,756.27,5910.59,3119.5,3,10,4,0,2,4,(fmnist:0-9-)(kmnist:0-3-4-5-)(mnist:1-2-5-7-)
49,88.03,29.0,85.8,87.3,2003.76,12559.45,4177.72,3,23,0,14,2,7,(emnist:11-12-16-18-21-29-36-37-44-47-50-51-54-55-)(fmnist:3-6-)(kmnist:0-1-2-3-4-6-9-)
50,84.33,10.81,82.49,83.68,4153.94,89785.1,16520.37,3,56,3,47,0,6,(emnist:0-1-2-3-5-8-9-10-11-12-14-15-16-17-18-20-21-22-23-25-26-27-29-31-32-34-35-37-38-39-41-42-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(kmnist:0-1-2-3-8-9-)(mnist:0-4-7-)
51,92.04,10.92,90.31,90.46,3973.99,59503.04,16419.94,2,45,0,36,0,9,(emnist:0-2-3-6-7-8-9-10-11-12-16-17-20-23-25-28-29-31-32-34-37-39-40-41-42-44-45-48-49-54-55-56-57-59-60-61-)(kmnist:0-1-3-4-5-6-7-8-9-)
52,89.18,76.73,86.26,88.05,1630.89,13268.72,7376.7,3,17,1,0,9,7,(fmnist:0-1-2-3-4-5-6-7-9-)(kmnist:0-1-3-4-5-7-8-)(mnist:5-)
53,82.38,6.39,80.6,81.11,5573.09,69514.39,18041.43,3,69,6,62,0,1,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:3-)(mnist:0-2-4-6-8-9-)
54,87.21,25.45,86.56,87.33,2300.83,32633.35,4657.24,2,31,0,29,2,0,(emnist:0-3-4-5-8-10-12-13-18-21-22-24-26-28-29-31-34-35-37-40-41-48-49-52-53-57-58-60-61-)(fmnist:0-7-)
55,94.72,87.89,92.71,93.55,1248.61,2753.02,2896.61,2,10,0,0,5,5,(fmnist:0-3-5-7-9-)(kmnist:3-4-5-8-9-)
56,99.14,88.6,98.37,98.73,603.42,3760.13,961.26,2,7,4,0,3,0,(fmnist:3-7-8-)(mnist:1-2-3-9-)
57,96.45,86.0,91.77,95.17,1446.87,6772.75,6047.61,2,15,10,0,0,5,(kmnist:4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-)
58,87.85,39.61,90.34,90.87,1933.29,19272.74,5162.19,3,22,4,9,9,0,(emnist:1-18-20-29-31-33-40-58-59-)(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:3-4-5-6-)
59,85.21,11.06,84.29,84.67,5502.6,101740.93,13277.0,4,67,7,52,5,3,(emnist:0-1-2-3-4-5-7-8-9-10-12-13-15-16-17-18-19-20-21-23-25-26-27-28-29-32-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-58-60-61-)(fmnist:3-4-5-6-7-)(kmnist:0-1-7-)(mnist:1-3-4-5-6-7-9-)
60,98.43,97.56,97.94,98.3,818.43,4681.64,1613.32,2,10,9,0,1,0,(fmnist:1-)(mnist:0-1-2-3-4-5-6-7-8-)
61,97.25,31.85,96.05,97.15,1236.53,23442.77,6458.22,4,15,3,5,5,2,(emnist:7-8-12-19-53-)(fmnist:2-4-5-7-9-)(kmnist:2-4-)(mnist:0-5-9-)
62,94.51,54.29,92.37,93.16,1242.37,4161.64,3352.57,2,10,0,5,0,5,(emnist:16-26-39-51-57-)(kmnist:0-1-4-8-9-)
63,96.35,83.88,94.8,96.26,1546.46,8388.28,4179.49,2,16,10,0,6,0,(fmnist:1-4-5-6-7-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
64,85.39,11.09,84.31,85.38,4097.9,64606.87,12331.01,4,57,9,46,1,1,(emnist:0-1-2-3-4-5-7-8-11-12-13-15-16-17-18-19-20-23-25-27-28-29-30-33-34-35-37-39-40-41-42-43-44-45-47-48-49-50-51-54-56-57-58-59-60-61-)(fmnist:0-)(kmnist:0-)(mnist:0-1-2-3-5-6-7-8-9-)
65,98.92,94.99,98.04,98.9,500.83,1668.54,1038.47,2,5,3,0,2,0,(fmnist:2-8-)(mnist:2-4-8-)
66,97.9,35.49,97.16,97.94,790.81,8431.58,3195.56,3,9,2,2,5,0,(emnist:0-8-)(fmnist:2-5-6-8-9-)(mnist:3-4-)
67,90.74,15.86,89.66,90.73,4001.85,60514.22,8490.25,3,42,5,29,0,8,(emnist:0-1-2-3-4-6-10-15-16-17-19-21-22-31-36-37-38-39-41-44-48-50-51-52-53-55-58-59-60-)(kmnist:0-1-2-3-4-5-7-9-)(mnist:0-5-7-8-9-)
68,83.04,14.09,80.43,79.5,6760.06,254554.7,33805.69,4,90,8,62,10,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-9-)
69,95.77,25.37,96.98,98.08,1161.97,7344.77,2656.63,2,11,4,7,0,0,(emnist:4-7-10-15-21-30-34-)(mnist:0-1-5-8-)
70,87.25,11.8,85.28,85.67,5158.46,132257.99,23836.19,4,63,2,47,9,5,(emnist:0-1-3-4-5-6-7-8-9-10-11-13-14-15-16-19-20-21-22-24-26-27-29-30-31-32-34-35-36-38-39-40-41-42-43-45-48-49-50-51-52-55-56-57-58-60-61-)(fmnist:0-1-2-4-5-6-7-8-9-)(kmnist:2-4-6-8-9-)(mnist:1-2-)
71,82.74,13.08,80.4,79.97,5846.66,122903.37,26682.74,4,86,8,61,7,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:2-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:1-2-3-4-5-6-8-9-)
72,96.5,39.56,94.33,95.94,2351.72,35338.59,6764.85,4,27,7,8,8,4,(emnist:3-8-12-28-30-34-43-58-)(fmnist:1-2-3-4-5-7-8-9-)(kmnist:0-5-6-9-)(mnist:0-1-3-4-7-8-9-)
73,97.32,66.94,95.53,96.97,950.09,6188.24,2505.18,4,11,1,3,4,3,(emnist:25-27-44-)(fmnist:5-6-7-8-)(kmnist:0-5-8-)(mnist:3-)
74,97.84,31.02,97.36,98.22,523.23,3035.0,1074.41,2,5,0,2,0,3,(emnist:7-54-)(kmnist:5-7-9-)
75,99.06,48.0,99.01,99.35,654.86,5068.25,1764.65,3,9,2,6,1,0,(emnist:1-3-16-22-34-57-)(fmnist:8-)(mnist:1-3-)
76,82.29,12.12,82.24,82.56,4852.23,49067.31,11701.77,2,52,0,46,6,0,(emnist:1-2-4-5-7-10-14-15-17-18-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-47-48-50-51-52-53-57-58-59-60-61-)(fmnist:0-2-4-6-7-9-)
77,91.09,75.94,86.88,88.05,2008.29,18862.66,14854.27,3,26,8,0,9,9,(fmnist:0-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:1-3-4-5-6-7-8-9-)
78,81.26,10.17,82.09,82.13,4290.79,54633.4,10604.65,2,41,0,34,0,7,(emnist:0-1-3-5-7-8-9-10-11-13-18-22-23-24-25-27-28-29-30-32-33-34-36-38-41-43-47-50-51-54-55-56-57-60-)(kmnist:1-2-4-6-7-8-9-)
79,87.22,10.67,86.67,87.12,3705.88,40873.18,13028.64,3,45,0,36,5,4,(emnist:0-1-2-3-5-7-8-9-10-12-14-15-18-19-20-23-25-26-27-28-30-31-32-34-36-38-43-45-47-48-49-50-54-55-59-60-)(fmnist:3-4-6-7-8-)(kmnist:1-3-4-8-)
80,89.41,14.53,89.91,90.34,3999.26,65426.93,15722.92,3,48,7,35,6,0,(emnist:1-2-3-4-6-9-12-16-19-22-23-24-26-27-30-31-32-34-35-37-38-39-40-42-44-46-48-49-51-52-53-55-57-59-61-)(fmnist:2-3-4-6-7-9-)(mnist:1-3-4-6-7-8-9-)
